id,text
1,"No water for 3 days near railway bridge, 12 people including children"
2,"Grandmother unconscious, need ambulance immediately near temple"
3,"Flooded street, kids trapped on roof, 8 people"
4,"Need food supplies, 20 people stranded near school"
5,"Fire accident, people injured near market area"
6,"No electricity and water since yesterday, elderly people present"
7,"Pregnant woman in pain, need medical help urgently"
8,"House collapsed due to flood, family of 6 homeless"
9,"Need rescue boat, area fully flooded near bus stand"
10,"Running out of food, 15 people including kids and elderly"
11,"Child injured by debris, bleeding badly near apartment block"
12,"No drinking water since morning, 5 families near canal"
13,"Man stuck on rooftop, flood water rising fast"
14,"Need blankets and shelter, 30 people near community hall"
15,"Electric pole fell, people trapped inside house"
16,"Senior citizen with breathing issue, needs oxygen"
17,"Food and water finished, children crying, help needed"
18,"Bridge damaged, villagers cut off, need rescue team"
19,"Multiple injuries after landslide near hill road"
20,"Water entering homes, need evacuation urgently"
21,"No medical aid available, wounded people near shelter"
22,"Flood victims gathered near temple, need food packets"
23,Children stuck inside school building due to flood
24,"Need clean water, stomach illness spreading in area"
25,"Fire spreading fast, families trapped inside houses"
